,id,title,context,question,answers,correct_answer,wrong_answer,sampled_answer,answer_true,guard_passed_gpt-4o-mini,guard_latency_gpt-4o-mini,guard_passed_gpt-3.5-turbo,guard_latency_gpt-3.5-turbo
236,56dcfce466d3e219004dab81,Republic_of_the_Congo,"Congo is located in the central-western part of sub-Saharan Africa, along the Equator, lying between latitudes 4°N and 5°S, and longitudes 11° and 19°E. To the south and east of it is the Democratic Republic of Congo. It is also bounded by Gabon to the west, Cameroon and the Central African Republic to the north, and Cabinda (Angola) to the southwest. It has a short coast on the Atlantic Ocean.",Between which two lines of latitude is the Congo located?,4°N and 5°S,True,The Congo is located between latitudes 10°N and 15°S.,4°N and 5°S,True,True,2.4611779999686405,True,1.129062417021487
590,57302cecb2c2fd14005689e8,Liberia,"Liberia has the highest ratio of foreign direct investment to GDP in the world, with US$16 billion in investment since 2006. Following the inauguration of the Sirleaf administration in 2006, Liberia signed several multibillion-dollar concession agreements in the iron ore and palm oil industries with numerous multinational corporations, including BHP Billiton, ArcelorMittal, and Sime Darby. Especially palm oil companies like Sime Darby (Malaysia) and Golden Veroleum (USA) are being accused by critics of the destruction of livelihoods and the displacement of local communities, enabled through government concessions. The Firestone Tire and Rubber Company has operated the world's largest rubber plantation in Liberia since 1926.",How long has Firestone tire and rubber company ran a rubber plantation in Liberia? ,since 1926,True,Firestone Tire and Rubber Company has been operating a rubber plantation in Liberia since 1985.,since 1926,True,True,1.769829542026855,True,1.55977733299369
1203,572e99e7dfa6aa1500f8d1d9,Seven_Years%27_War,"French policy was, moreover, complicated by the existence of the le Secret du roi—a system of private diplomacy conducted by King Louis XV. Unbeknownst to his foreign minister, Louis had established a network of agents throughout Europe with the goal of pursuing personal political objectives that were often at odds with France’s publicly stated policies. Louis’s goals for le Secret du roi included an attempt to win the Polish crown for his kinsman Louis François de Bourbon, prince de Conti, and the maintenance of Poland, Sweden, and Turkey as French client states in opposition to Russian and Austrian interests.",What was King Louis XV's secret ambition for Sweden and Turkey?,"Sweden, and Turkey as French client states in opposition to Russian and Austrian interests",True,King Louis XV's secret ambition for Sweden and Turkey was to establish them as independent monarchies under his direct rule.,King Louis XV's secret ambition for Sweden and Turkey was to establish them as independent monarchies under his direct rule.,False,False,2.0392383339931257,False,1.432840875000693
887,573430a44776f41900661a35,"Richmond,_Virginia","Davis and his cabinet left the city by train that night, as government officials burned documents and departing Confederate troops burned tobacco and other warehouses to deny their contents to the victors. On April 2, 1865, General Godfrey Weitzel, commander of the 25th corps of the United States Colored Troops, accepted the city's surrender from the mayor and group of leading citizens who remained. The Union troops eventually managed to stop the raging fires but about 25% of the city's buildings were destroyed-",What percentage of Richmond was destroyed by fire after the Confederate evacuation?,25,True,Around 60% of Richmond was destroyed by fire after the Confederate evacuation.,25,True,True,2.661017708014697,True,1.3909418750554323
2133,57311cc8a5e9cc1400cdbc1d,Tuvalu,"The United Nations designates Tuvalu as a least developed country (LDC) because of its limited potential for economic development, absence of exploitable resources and its small size and vulnerability to external economic and environmental shocks. Tuvalu participates in the Enhanced Integrated Framework for Trade-Related Technical Assistance to Least Developed Countries (EIF), which was established in October 1997 under the auspices of the World Trade Organisation. In 2013 Tuvalu deferred its graduation from least developed country (LDC) status to a developing country to 2015. Prime Minister Enele Sopoaga said that this deferral was necessary to maintain access by Tuvalu to the funds provided by the United Nations's National Adaptation Programme of Action (NAPA), as ""Once Tuvalu graduates to a developed country, it will not be considered for funding assistance for climate change adaptation programmes like NAPA, which only goes to LDCs"". Tuvalu had met targets so that Tuvalu was to graduate from LDC status. Prime minister, Enele Sopoaga wants the United Nations to reconsider its criteria for graduation from LDC status as not enough weight is given to the environmental plight of small island states like Tuvalu in the application of the Environmental Vulnerability Index (EVI).",What did Tuvalu do in 2013 in regards to it least developed country status?,deferred its graduation,True,"In 2013, Tuvalu accelerated its graduation from least developed country (LDC) status to a developed country.",deferred its graduation,True,True,3.0827071249950677,True,1.9063843329786323
2293,5731e22ae99e3014001e63af,Bird,"Birds sometimes use plumage to assess and assert social dominance, to display breeding condition in sexually selected species, or to make threatening displays, as in the sunbittern's mimicry of a large predator to ward off hawks and protect young chicks. Variation in plumage also allows for the identification of birds, particularly between species. Visual communication among birds may also involve ritualised displays, which have developed from non-signalling actions such as preening, the adjustments of feather position, pecking, or other behaviour. These displays may signal aggression or submission or may contribute to the formation of pair-bonds. The most elaborate displays occur during courtship, where ""dances"" are often formed from complex combinations of many possible component movements; males' breeding success may depend on the quality of such displays.","What allows for the identification of birds, particularly between species?",Variation in plumage,True,"The unique sound of their chirping allows for the identification of birds, particularly between species.","The unique sound of their chirping allows for the identification of birds, particularly between species.",False,False,3.421628167037852,False,1.2452852499554865
581,5726c394f1498d1400e8ea92,Cubism,"There was a distinct difference between Kahnweiler’s Cubists and the Salon Cubists. Prior to 1914, Picasso, Braque, Gris and Léger (to a lesser extent) gained the support of a single committed art dealer in Paris, Daniel-Henry Kahnweiler, who guaranteed them an annual income for the exclusive right to buy their works. Kahnweiler sold only to a small circle of connoisseurs. His support gave his artists the freedom to experiment in relative privacy. Picasso worked in Montmartre until 1912, while Braque and Gris remained there until after the First World War. Léger was based in Montparnasse.",Where was Leger based around 1912? ,Montparnasse,True,Leger was based in Montmartre around 1912.,Montparnasse,True,True,1.5898499159957282,True,1.2042665000190027
542,572fcf88a23a5019007fca26,Bacteria,"Transduction of bacterial genes by bacteriophage appears to be a consequence of infrequent errors during intracellular assembly of virus particles, rather than a bacterial adaptation. Conjugation, in the much-studied E. coli system is determined by plasmid genes, and is an adaptation for transferring copies of the plasmid from one bacterial host to another. It is seldom that a conjugative plasmid integrates into the host bacterial chromosome, and subsequently transfers part of the host bacterial DNA to another bacterium. Plasmid-mediated transfer of host bacterial DNA also appears to be an accidental process rather than a bacterial adaptation.",Is conjugation a common bacterial adaptation?,It is seldom,True,"No, conjugation is not a bacterial adaptation, it is a result of errors during the assembly of virus particles.","No, conjugation is not a bacterial adaptation, it is a result of errors during the assembly of virus particles.",False,False,1.9655967080034316,False,1.206205750000663
846,57325886b9d445190005ea73,Protestantism,"Consistent with Calvin's political ideas, Protestants created both the English and the American democracies. In seventeenth-century England, the most important persons and events in this process were the English Civil War, Oliver Cromwell, John Milton, John Locke, the Glorious Revolution, the English Bill of Rights, and the Act of Settlement. Later, the British took their democratic ideals to their colonies, e.g. Australia, New Zealand, and India. In North America, Plymouth Colony (Pilgrim Fathers; 1620) and Massachusetts Bay Colony (1628) practised democratic self-rule and separation of powers. These Congregationalists were convinced that the democratic form of government was the will of God. The Mayflower Compact was a social contract.",What democratic principles were followed by the Plymouth Colony?,self-rule and separation of powers,True,The Plymouth Colony followed the democratic principles of absolute monarchy and aristocratic rule.,The Plymouth Colony followed the democratic principles of absolute monarchy and aristocratic rule.,False,False,3.77538970799651,False,1.3024006659979932
2055,57341fd5d058e614000b697b,"Tucson,_Arizona","The city's elevation is 2,643 ft (806 m) above sea level (as measured at the Tucson International Airport). Tucson is situated on an alluvial plain in the Sonoran desert, surrounded by five minor ranges of mountains: the Santa Catalina Mountains and the Tortolita Mountains to the north, the Santa Rita Mountains to the south, the Rincon Mountains to the east, and the Tucson Mountains to the west. The high point of the Santa Catalina Mountains is 9,157 ft (2,791 m) Mount Lemmon, the southernmost ski destination in the continental U.S., while the Tucson Mountains include 4,687 ft (1,429 m) Wasson Peak. The highest point in the area is Mount Wrightson, found in the Santa Rita Mountains at 9,453 ft (2,881 m) above sea level.",What mountain range is north of Tucson?,Tortolita Mountains,True,The Rocky Mountains are north of Tucson.,Tortolita Mountains,True,False,1.123604916036129,False,1.2639670000062324
2144,570ff6fcb654c5140001f6f9,Sexual_orientation,"Sexual identity and sexual behavior are closely related to sexual orientation, but they are distinguished, with sexual identity referring to an individual's conception of themselves, behavior referring to actual sexual acts performed by the individual, and orientation referring to ""fantasies, attachments and longings."" Individuals may or may not express their sexual orientation in their behaviors. People who have a homosexual sexual orientation that does not align with their sexual identity are sometimes referred to as 'closeted'. The term may, however, reflect a certain cultural context and particular stage of transition in societies which are gradually dealing with integrating sexual minorities. In studies related to sexual orientation, when dealing with the degree to which a person's sexual attractions, behaviors and identity match, scientists usually use the terms concordance or discordance. Thus, a woman who is attracted to other women, but calls herself heterosexual and only has sexual relations with men, can be said to experience discordance between her sexual orientation (homosexual or lesbian) and her sexual identity and behaviors (heterosexual).",What are the differences in sexual identity and sexual behaviour? ,"sexual identity referring to an individual's conception of themselves, behavior referring to actual sexual acts performed by the individual",True,"Sexual identity and sexual behavior are the same thing. Sexual identity refers to the sexual acts an individual performs, while sexual behavior refers to how an individual identifies themselves in terms of their sexuality.","sexual identity referring to an individual's conception of themselves, behavior referring to actual sexual acts performed by the individual",True,True,3.267733542015776,True,1.8288793749525212
1416,572ac8dbbe1ee31400cb8241,John_Kerry,"Alexandra was born days before Kerry began law school. In 1982, Julia asked Kerry for a separation while she was suffering from severe depression. They were divorced on July 25, 1988, and the marriage was formally annulled in 1997. ""After 14 years as a political wife, I associated politics only with anger, fear and loneliness"" she wrote in A Change of Heart, her book about depression. Thorne later married Richard Charlesworth, an architect, and moved to Bozeman, Montana, where she became active in local environmental groups such as the Greater Yellowstone Coalition. Thorne supported Kerry's 2004 presidential run. She died of cancer on April 27, 2006.",When did Kerry and his wife separate?,1982,True,Kerry and his wife separated in 1995.,Kerry and his wife separated in 1995.,False,False,1.6323794170166366,False,1.2228595839696936
1858,5728e52d2ca10214002daa56,Apollo,"The evolution of the Greek sculpture can be observed in his depictions from the almost static formal Kouros type in early archaic period, to the representation of motion in a relative harmonious whole in late archaic period. In classical Greece the emphasis is not given to the illusive imaginative reality represented by the ideal forms, but to the analogies and the interaction of the members in the whole, a method created by Polykleitos. Finally Praxiteles seems to be released from any art and religious conformities, and his masterpieces are a mixture of naturalism with stylization.",Who seems to be released from any art and religious conformities?,Praxiteles,True,Polykleitos seems to be released from any art and religious conformities.,Polykleitos seems to be released from any art and religious conformities.,False,False,2.0542404589941725,False,1.081454125000164
338,57301640b2c2fd1400568832,Roman_Republic,"Several years later, in 88 BC, a Roman army was sent to put down an emerging Asian power, king Mithridates of Pontus. The army, however, was defeated. One of Marius' old quaestors, Lucius Cornelius Sulla, had been elected consul for the year, and was ordered by the senate to assume command of the war against Mithridates. Marius, a member of the ""populares"" party, had a tribune revoke Sulla's command of the war against Mithridates. Sulla, a member of the aristocratic (""optimates"") party, brought his army back to Italy and marched on Rome. Sulla was so angry at Marius' tribune that he passed a law intended to permanently weaken the tribunate. He then returned to his war against Mithridates. With Sulla gone, the populares under Marius and Lucius Cornelius Cinna soon took control of the city.",Who was ordered by the senate to become commander in the conflict with King Mithridates?,Lucius Cornelius Sulla,True,Julius Caesar was ordered by the senate to become commander in the conflict with King Mithridates.,Julius Caesar was ordered by the senate to become commander in the conflict with King Mithridates.,False,False,1.8477149580139667,False,1.158115917001851
